fid,feature_id,rdf_seealso,bag_id,street,number,addition,postal code,city,ufa_m2,building_height,construction_year,energy_label,Dataset_Functional use,Dataset_Floor area per functional use,dominant_use,parcel_m2,amenity_accessibility,monument_status,travel_education,land_use,sc_ufa,sc_height,sc_year,sc_energy,sc_dom_use,sc_parcel,sc_travel_edu,sc_amenity,sc_monument,sc_landuse,sc_policy,cr_layout,cr_technical,cr_typology,cr_edu_access,cr_amenities,cr_regulatory,cr_policy,suitability_total,lon,lat,neighbourhood,city_area
1,7191905,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000276331,"0772100000276331",Hoogstraat,"165",,5615PD,Eindhoven,"313","9","1906",C,"office, residential, ","residential: 313, office: 313",residential,"555","90",No,11.814895041444,residential,0.2,1,0.2,0.6,1,0.6,0.6,0.9,1,1,,0.6,0.4,0.8,0.6,0.9,1,,0.6812,5.46837149381409,51.4304176318491,Wijk Rozenknopje,Stadsdeel Gestel
2,7304358,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000298746,"0772100000298746",Daalakkersweg,"16","12",5641JA,Eindhoven,"866","9","1999",B,"industrial, office, ","office: 423, industrial: 443",industrial,"48524","77",No,11.9113246112454,,0.6,1,1,1,0.2,1,0.6,0.77,1,0.6,,0.8,1,0.6,0.6,0.77,0.8,,0.8141,5.52285893867443,51.4460343257894,Wijk Oud-Tongelre,Stadsdeel Tongelre
3,7155544,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000282508,"0772100000282508",Bleekstraat,"19",,5611VB,Eindhoven,"842","9","1959",G,"office, residential, ","residential: 314, office: 528",office,"295","96",No,7.36735637138754,residential,0.6,1,0.2,0.2,0.8,0.6,1,0.96,1,1,,0.8,0.2,0.7,1,0.96,1,,0.7046,5.48546290781305,51.4366885872964,Wijk Oud-Stratum,Stadsdeel Stratum
4,7156571,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000280072,"0772100000280072",Kanaaldijk-Zuid,"1","01",5643TZ,Eindhoven,"1369","6","1931",,"industrial, office, ","office: 548, industrial: 1101",industrial,"6987","43",No,10.918646171706,,1,0.6,0.2,0.5,0.2,1,0.6,0.43,1,0.6,,0.8,0.35,0.6,0.6,0.43,0.8,,0.60895,5.49994633577137,51.434770971701,Wijk Oud-Stratum,Stadsdeel Stratum
5,7000716,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000294155,"0772100000294155",Parklaan,"52",,5613BH,Eindhoven,"1629","11","1920",,"office, ",office: 1300,office,"8951","85",No,5.92869020292182,residential,1,1,0.2,0.5,0.8,1,1,0.85,1,1,,1,0.35,0.9,1,0.85,1,,0.79895,5.48970020005763,51.442250626836,Wijk De Laak,Stadsdeel Tongelre
6,7140998,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000313784,"0772100000313784",Boschdijk,"621",,5626AA,Eindhoven,"413","11","1900",G,"healthcare, ",healthcare: 413,healthcare,,"61",No,10.8944048881086,,0.2,1,0.2,0.2,0.6,0.5,0.6,0.61,1,0.6,,0.6,0.2,0.55,0.6,0.61,0.8,,0.5333,5.45353051244179,51.4620975836114,Wijk Erp,Stadsdeel Woensel-Zuid
7,3451787,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000315949,"0772100000315949",Odysseuslaan,"2",,5631JM,Eindhoven,"962","4","1963",C,"office, ",office: 962,office,"2416","84",No,7.99316140981104,residential,0.6,0.6,0.6,0.6,0.8,1,1,0.84,1,1,,0.6,0.6,0.9,1,0.84,1,,0.7844,5.48909073633159,51.4641497348437,Wijk Begijnenbroek,Stadsdeel Woensel-Zuid
8,3513435,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100001014749,"0772100001014749",High Tech Campus,"35",,5656AE,Eindhoven,"1790","9","1968",E,"office, ",office: 1790,office,"917","23",No,22.1050712880818,,1,1,0.6,0.6,0.8,1,0.2,0.23,1,0.6,,1,0.6,0.9,0.2,0.23,0.8,,0.6917,5.45779457031753,51.4120716562922,Wijk Oud-Gestel,Stadsdeel Gestel
9,10819371,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000278837,"0772100000278837",Beemdstraat,"2",,5652AB,Eindhoven,"3131","5","1955",A++++,"industrial, office, ","office: 677, industrial: 2454",industrial ,"9033","68",No,14.261880586217,,1,0.6,0.2,1,0.2,1,0.6,0.68,1,0.6,,0.8,0.6,0.6,0.6,0.68,0.8,,0.6962,5.45219522386028,51.431208397101,Wijk Halve Maan,Stadsdeel Strijp
10,3423983,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000279703,"0772100000279703",Limburglaan,"21",,5616HR,Eindhoven,"1136","6","1965",,"office, ",office: 1136,office,,"79",No,12.802485992388,,1,0.6,0.6,0.5,0.8,0.5,0.6,0.79,1,0.6,,0.8,0.55,0.65,0.6,0.79,0.8,,0.69455,5.45320836643334,51.4349590242214,Wijk Oud-Strijp,Stadsdeel Strijp
11,11005394,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000264559,"0772100000264559",Tinelstraat,"22",,5654LT,Eindhoven,"374","4","1974",,"retail, ",retail: 374,retail,"394","86",No,18.5819715306232,residential,0.2,0.6,0.6,0.5,0.4,0.6,0.6,0.86,1,1,,0.4,0.55,0.5,0.6,0.86,1,,0.65085,5.45624905726617,51.4202182338806,Wijk Oud-Gestel,Stadsdeel Gestel
12,11183798,http://bag.basisregistraties.overheid.nl/bag/id/pand/0772100000305445,"0772100000305445",Marconilaan,"28",,5621AA,Eindhoven,"575","8","1930","F, D","retail, residential, ","residential: 146, retail: 429",retail,"712","90",No,6.10952034481262,residential,0.6,1,0.2,0.5,0.4,1,1,0.9,1,1,,0.8,0.35,0.7,1,0.9,1,,0.74225,5.46226255711573,51.4514976835069,Wijk Erp,Stadsdeel Woensel-Zuid
